area,source,size_m2,price_jod,price_per_m2
دير غبار,bayut,388,320000,825
دير غبار,bayut,200,140000,700
دير غبار,bayut,365,370000,1014
دير غبار,bayut,210,220000,1048
دير غبار,bayut,186,175000,941
دير غبار,bayut,182,155000,852
دير غبار,bayut,186,140000,753
دير غبار,bayut,186,185000,995
دير غبار,bayut,185,182000,984
دير غبار,bayut,360,280000,778
دير غبار,bayut,188,320000,1702
دير غبار,bayut,192,140000,729
دير غبار,bayut,260,350000,1346
دير غبار,bayut,100,80000,800
دير غبار,bayut,285,200000,702
دير غبار,bayut,385,360000,935
دير غبار,bayut,240,180000,750
دير غبار,bayut,230,250000,1087
دير غبار,bayut,230,235000,1022
دير غبار,bayut,260,320000,1231
دير غبار,bayut,192,195000,1016
دير غبار,bayut,192,185000,964
دير غبار,bayut,238,245000,1029
دير غبار,bayut,200,205000,1025
دير غبار,bayut,220,215000,977
دير غبار,bayut,270,220000,815
دير غبار,bayut,180,140000,778
دير غبار,bayut,220,260000,1182
دير غبار,bayut,220,260000,1182
دير غبار,bayut,190,135000,711
دير غبار,bayut,97,78000,804
دير غبار,bayut,86,66000,767
دير غبار,bayut,280,205000,732
دير غبار,bayut,255,240000,941
دير غبار,bayut,192,190000,990
دير غبار,bayut,324,260000,802
دير غبار,bayut,200,210000,1050
دير غبار,bayut,196,165000,842
دير غبار,bayut,196,165000,842
دير غبار,bayut,345,400000,1159
دير غبار,bayut,175,220000,1257
دير غبار,bayut,160,142000,888
دير غبار,bayut,200,165000,825
دير غبار,bayut,215,215000,1000
دير غبار,bayut,160,130000,812
دير غبار,bayut,170,190000,1118
دير غبار,bayut,170,225000,1324
دير غبار,bayut,185,130000,703
دير غبار,bayut,375,300000,800
دير غبار,bayut,275,270000,982
دير غبار,bayut,345,380000,1101
دير غبار,bayut,210,180000,857
دير غبار,bayut,460,365000,793
دير غبار,bayut,79,68000,861
دير غبار,bayut,150,135000,900
دير غبار,bayut,280,275000,982
دير غبار,bayut,365,190000,521
دير غبار,bayut,300,330000,1100
دير غبار,bayut,90,89000.01,989
دير غبار,bayut,305,210000,689
دير غبار,bayut,250,290000,1160
دير غبار,bayut,250,205000,820
دير غبار,bayut,200,200000,1000
دير غبار,bayut,235,160000,681
دير غبار,bayut,245,215000,878
دير غبار,bayut,215,210000,977
دير غبار,bayut,105,90000,857
دير غبار,bayut,105,133000,1267
دير غبار,bayut,245,234000,955
دير غبار,bayut,255,253000,992
دير غبار,bayut,170,163000,959
دير غبار,bayut,310,255000,823
دير غبار,bayut,400,300000,750
دير غبار,bayut,200,265000,1325
دير غبار,bayut,400,480000,1200
دير غبار,bayut,250,215000,860
دير غبار,bayut,200,140000,700
دير غبار,bayut,140,145000,1036
دير غبار,bayut,170,130000,765
دير غبار,bayut,245,285000,1163
دير غبار,bayut,200,148000,740
دير غبار,bayut,220,180000,818
دير غبار,bayut,375,340000,907
دير غبار,bayut,140,128000,914
دير غبار,bayut,205,155000,756
دير غبار,bayut,200,200000,1000
دير غبار,bayut,325,340000,1046
دير غبار,bayut,350,400000,1143
دير غبار,bayut,160,130000,812
دير غبار,bayut,130,120000,923
دير غبار,bayut,130,105000,808
دير غبار,bayut,130,105000,808
دير غبار,bayut,130,120000,923
دير غبار,bayut,230,225000,978
دير غبار,bayut,230,175000,761
دير غبار,bayut,230,220000,957
دير غبار,bayut,180,145000,806
دير غبار,bayut,180,145000,806
دير غبار,bayut,250,225000,900
دير غبار,bayut,165,115000,697
دير غبار,bayut,105,84000,800
دير غبار,bayut,100,74000,740
دير غبار,bayut,105,100000,952
دير غبار,bayut,95,100000,1053
دير غبار,bayut,95,95000,1000
دير غبار,bayut,105,95000,905
دير غبار,bayut,95,95000,1000
دير غبار,bayut,95,95000,1000
دير غبار,bayut,275,275000,1000
دير غبار,bayut,275,275000,1000
دير غبار,bayut,275,275000,1000
دير غبار,bayut,275,275000,1000
دير غبار,bayut,203,150000,739
دير غبار,bayut,200,155000,775
دير غبار,bayut,203,140000,690
دير غبار,bayut,127,85000,669
دير غبار,bayut,223,200000,897
دير غبار,bayut,144,103000,715
دير غبار,bayut,180,160000,889
دير غبار,bayut,190,110000,579
دير غبار,bayut,175,165000,943
دير غبار,bayut,135,130000,963
دير غبار,bayut,152,160000,1053
دير غبار,bayut,110,129000,1173
دير غبار,bayut,430,500000,1163
دير غبار,bayut,164,132000,805
دير غبار,bayut,124,99000,798
دير غبار,bayut,300,270000,900
دير غبار,bayut,300,370000,1233
دير غبار,bayut,170,130000,765
دير غبار,bayut,200,155000,775
دير غبار,bayut,150,135000,900
دير غبار,bayut,200,185000,925
دير غبار,bayut,200,300000,1500
دير غبار,bayut,114,91000,798
دير غبار,bayut,113,159000,1407
دير غبار,bayut,107,151000,1411
دير غبار,bayut,105,136000,1295
دير غبار,bayut,113,159000,1407
دير غبار,bayut,107,139000,1299
دير غبار,bayut,105,136000,1295
دير غبار,bayut,113,159000,1407
دير غبار,bayut,107,139000,1299
دير غبار,bayut,105,136000,1295
دير غبار,bayut,350,300000,857
دير غبار,bayut,250,250000,1000
دير غبار,bayut,255,180000,706
دير غبار,bayut,341,210000,616
دير غبار,bayut,115,116000,1009
دير غبار,bayut,205,270000,1317
دير غبار,bayut,341,425000,1246
دير غبار,bayut,310,300000,968
دير غبار,bayut,341,460000,1349
دير غبار,bayut,350,300000,857
دير غبار,bayut,440,380000,864
دير غبار,bayut,460,700000,1522
دير غبار,bayut,175,155000,886
دير غبار,bayut,250,260000,1040
دير غبار,bayut,325,340000,1046
دير غبار,bayut,275,300000,1091
دير غبار,bayut,179,170000,950
دير غبار,bayut,350,400000,1143
دير غبار,bayut,160,160000,1000
دير غبار,bayut,400,270000,675
دير غبار,bayut,280,315000,1125
دير غبار,bayut,85,78000,918
دير غبار,bayut,318,525000,1651
دير غبار,bayut,333,230000,691
دير غبار,bayut,250,195000,780
دير غبار,bayut,330,330000,1000
دير غبار,bayut,260,260000,1000
دير غبار,bayut,165,160000,970
دير غبار,bayut,253,250000,988
دير غبار,bayut,250,300000,1200
دير غبار,bayut,205,245000,1195
دير غبار,bayut,200,225000,1125
دير غبار,bayut,235,235000,1000
دير غبار,bayut,147,90000,612
دير غبار,bayut,177,130000,734
دير غبار,bayut,150,110000,733
دير غبار,bayut,130,100000,769
دير غبار,bayut,330,330000,1000
دير غبار,bayut,278,280000,1007
دير غبار,bayut,200,195000,975
دير غبار,bayut,201,260000,1294
دير غبار,bayut,150,155000,1033
دير غبار,bayut,240,185000,771
دير غبار,bayut,120,90000,750
دير غبار,bayut,190,180000,947
دير غبار,bayut,150,105000,700
دير غبار,bayut,95,107000,1126
دير غبار,bayut,150,110000,733
دير غبار,bayut,280,230000,821
دير غبار,bayut,330,399000,1209
دير غبار,bayut,100,68000,680
دير غبار,bayut,277,285000,1029
دير غبار,bayut,240,230000,958
دير غبار,bayut,185,160000,865
دير غبار,bayut,172,130000,756
دير غبار,bayut,364,380000,1044
دير غبار,bayut,266,200000,752
دير غبار,bayut,180,235000,1306
دير غبار,bayut,140,85000,607
دير غبار,bayut,240,210000,875
دير غبار,bayut,340,300000,882
دير غبار,bayut,270,305000,1130
دير غبار,bayut,270,290000,1074
دير غبار,bayut,270,265000,981
دير غبار,bayut,336,450000,1339
دير غبار,bayut,183,185000,1011
دير غبار,bayut,245,190000,776
دير غبار,bayut,226,158000,699
دير غبار,bayut,180,180000,1000
دير غبار,bayut,201,210000,1045
دير غبار,bayut,180,125000,694
دير غبار,bayut,235,235000,1000
دير غبار,bayut,320,285000,891
دير غبار,bayut,200,200000,1000
دير غبار,bayut,180,135000,750
دير غبار,bayut,236,250000,1059
دير غبار,bayut,183,130000,710
دير غبار,bayut,300,430000,1433
دير غبار,bayut,265,230000,868
دير غبار,bayut,250,275000,1100
دير غبار,bayut,245,265000,1082
دير غبار,bayut,330,285000,864
دير غبار,bayut,210,190000,905
دير غبار,bayut,192,235000,1224
دير غبار,bayut,330,200000,606
دير غبار,bayut,225,245000,1089
