area,source,size_m2,price_jod,price_per_m2,title
عبدون,opensooq,120,140000,1167,مقابل السفارة اللبنانية شقة أرضية مفروشة 120م في أرقى مناطق عبدون / ref 1183
عبدون,opensooq,150,127000,847,في موقع مميز في عبدون شقة تسوية150م مفروشة بتشطيب راقي / ref 1053
عبدون,opensooq,500,430000,860,في عبدون الجنوبي روف مميز 500م داخلي وخارجي بتشطيبات راقية وأطلاله خلابه / ref 1101
عبدون,opensooq,220,125000,568,شقة للبيع في عبدون 220 متر -14101
عبدون,opensooq,355,580000,1634,شقه أبراج عبدون الطابقية الفاخره بمساحة 355م/شبه أرضي مع ترسات خارجية و مسبح (230 متر)
عبدون,opensooq,265,675000,2547,شقه أبراج عبدون الطابقية الفاخره/ روف بمساحة 265 متر مع ترسات خارجيه 310 متر
عبدون,opensooq,355,480000,1352,شقة أبراج عبدون الطابقية الفاخره بمساحة 355م
عبدون,opensooq,225,320000,1422,شقه 225م أبراج عبدون الطابقية الفاخره /شبة ارضي مع مدخل مستقل
عبدون,opensooq,300,550000,1833,شقه للبيع بمساحة 300 متر مربع بناء جديد في عبدون ( Property 48654 )-164730
عبدون,opensooq,150,135000,900,في أجمل مناطق عبدون شقة تسوية 150م بسعر مميز / ref 1251
عبدون,opensooq,250,320000,1280,شقه 250 متر مربع للبيع في عبدون ( Property 47904 )-164547
عبدون,opensooq,250,370000,1480,شقه 250 متر مربع للبيع في عبدون ( Property 47906 )-164547
دابوق,qoshan,290,345000,1190,شقة طابق أول 290م بأعلى المواصفات في دابوق
دابوق,qoshan,230,269000,1170,شقة أرضية مع ترس و مدخل و كراج مستقل في أجمل أحياء دابوق
دابوق,qoshan,200,205000,1025,شقة 200م في أفضل مواقع دابوق للبيع
دابوق,qoshan,325,450000,1385,شقق مميزة 4 نوم بمواصفات خاصة في دابوق
دابوق,qoshan,389,410000,1054,شبه ارضي طابقي مع حديقة وبركة في دابوق
دابوق,qoshan,245,300000,1224,شقة شبه أرضي 4 غرف بإطلالة فخمة في دابوق
دابوق,qoshan,330,395000,1197,شقق طابقية 330متر في أرقى أحياء دابوق
دابوق,qoshan,430,450000,1047,رووف طابقي 4 غرف نوم بأجمل اطلالة في دابوق
دابوق,qoshan,410,350000,854,رووف طابقي 5 غرف نوم مميز في دابوق
دابوق,qoshan,430,350000,814,شقة 430متر مميزة مع ترس وكراج في دابوق
دابوق,qoshan,340,275000,809,رووف طابقي 3 نوم بأجمل إطلالة في دابوق
دابوق,qoshan,325,450000,1385,شقق مميزة 3 – 4 غرف نوم للبيع في دابوق
دابوق,qoshan,200,310000,1550,رووف طابقي 200م بأجمل إطلالة في دابوق
دابوق,qoshan,235,330000,1404,رووف مع بركة سباحة للبيع في دابوق
دابوق,qoshan,205,325000,1585,رووف طابقي بأجمل اطلالة في دابوق
دابوق,qoshan,420,400000,952,شقة طابقية 420م بإطلالة مميزة في دابوق
دابوق,qoshan,200,160000,800,شقة 200متر مفروشة بسعر ممتاز في دابوق
دابوق,qoshan,195,205000,1051,شقة 195م طابق أول بسعر ممتاز في دابوق
دابوق,qoshan,167,163000,976,شبه أرضي 3 نوم مع حديقة بأرقى أحياء دابوق
دابوق,qoshan,315,295000,937,شقة 315م بموقع مميز في دابوق
دابوق,qoshan,260,295000,1135,دوبلكس مفروشة بإطلالة مميزة في دابوق للبيع
دابوق,qoshan,200,190000,950,رووف 200 متر مع تراسات 150 متر في دابوق
دابوق,qoshan,325,450000,1385,شقق 3 نوم بأجمل مواقع دابوق للبيع
دابوق,qoshan,340,270000,794,رووف بإطلالة مميزة وتشطيبات خاصة في دابوق
دابوق,qoshan,270,210000,778,شقة مميزة مساحة 270م في دابوق
دابوق,qoshan,429,410000,956,شقة 429م مع حديقة كبيرة في أرقى مناطق دابوق
دابوق,qoshan,184,180000,978,شقة 184 متر في أجمل مناطق دابوق
دابوق,qoshan,200,150000,750,شقق 3 نوم بمساحات واسعة بموقع مميز في دابوق
دابوق,qoshan,328,360000,1098,رووف وتوب رووف 4 نوم في أرقى مناطق دابوق
دابوق,qoshan,270,245000,907,شقة شبه أرضية مع حديقة 250 متر في دابوق
