area,title,size_m2,price_jod,price_per_m2,url
عبدون,رووف 400م في أجمل مواقع عبدون,400,400000,1000,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-400%d9%85-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضي معلق 3 نوم بتشطيبات مميزة في عبدون,222,220000,991,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a-%d9%85%d8%b9%d9%84%d9%82-3-%d9%86%d9%88%d9%85-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8/
عبدون,طابقية 300م بإطلالة مميزة في عبدون,300,295000,983,https://qoshan.com/property/%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-300%d9%85-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 281متر بسعر ممتاز خلف السعودية,281,270000,961,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-281%d9%85%d8%aa%d8%b1-%d8%a8%d8%b3%d8%b9%d8%b1-%d9%85%d9%85%d8%aa%d8%a7%d8%b2-%d8%ae%d9%84%d9%81-%d8%a7%d9%84%d8%b3%d8%b9%d9%88%d8%af%d9%8a%d8%a9/
عبدون,شقة طابقية 281م باطلالة دائمة في عبدون,281,265000,943,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-281%d9%85-%d8%a8%d8%a7%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d8%af%d8%a7%d8%a6%d9%85%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة 100م مفروشة بالكامل في عبدون,100,93000,930,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-100%d9%85-%d9%85%d9%81%d8%b1%d9%88%d8%b4%d8%a9-%d8%a8%d8%a7%d9%84%d9%83%d8%a7%d9%85%d9%84-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة طابق أول 367 متر في عبدون,367,340000,926,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82-%d8%a3%d9%88%d9%84-367-%d9%85%d8%aa%d8%b1-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة أرضية 205م مع بركة سباحة في عبدون,325,300000,923,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-205%d9%85-%d9%85%d8%b9-%d8%a8%d8%b1%d9%83%d8%a9-%d8%b3%d8%a8%d8%a7%d8%ad%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,أرضية طابقية مع حديقة كبيرة في عبدون,320,290000,906,https://qoshan.com/property/%d8%a3%d8%b1%d8%b6%d9%8a%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-%d9%85%d8%b9-%d8%ad%d8%af%d9%8a%d9%82%d8%a9-%d9%83%d8%a8%d9%8a%d8%b1%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,شقة طابقية 455م في أفضل أحياء عبدون,455,400000,879,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%b7%d8%a7%d8%a8%d9%82%d9%8a%d8%a9-455%d9%85-%d9%81%d9%8a-%d8%a3%d9%81%d8%b6%d9%84-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
