area,floor_type,size_m2,price_jod,price_per_m2,source,title,url
عبدون,روف,320,230000,719,السوق المفتوح,شقة اخير مع روف للبيع في كوريدور عبدون مساحة 320م2,
عبدون,روف,222,160000,721,السوق المفتوح,شقه مفروشه للبيع روف222م عبدون,
عبدون,روف,318,235000,739,السوق المفتوح,روف طابقي فاخر للبيع في عبدون الشمالي  - قرب السفارة الأندونيسية 318م تشطيب سوبر ديلوكس بسعر مغري,
عبدون,روف,318,245000,770,قوشان,روف 318م في احياء عبدون الشمالي,https://qoshan.com/property/%d8%b1%d9%88%d9%81-318%d9%85-%d9%81%d9%8a-%d8%a7%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9%d8%a8%d8%af%d9%88%d9%86-%d8%a7%d9%84%d8%b4%d9%85%d8%a7%d9%84%d9%8a/
عبدون,روف,263,209000,795,السوق المفتوح,شقة فاخرة للبيع في عبدون الشمالي قرب السفارة الهولندية طابق ثاني مع روف دوبلكس263م تشطيب سوبر ديلوكس,
عبدون,روف,430,350000,814,السوق المفتوح,رووف طابقي مميز للبيع عبدون مساحة 430م مع تراسات تشطيبات فاخرة منطقة فلل اطلالة رائعة جديد لم يسكن,
عبدون,روف,500,430000,860,السوق المفتوح,في عبدون الجنوبي روف مميز 500م داخلي وخارجي بتشطيبات راقية وأطلاله خلابه / ref 1101,
عبدون,روف,285,250000,877,السوق المفتوح,في أجمل مناطق عبدون شقة طابق أخير مع روف 285م بتشطيبات مميزة/ ref 9039,
عبدون,روف,400,400000,1000,قوشان,رووف 400م في أجمل مواقع عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-400%d9%85-%d9%81%d9%8a-%d8%a3%d8%ac%d9%85%d9%84-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,روف,180,180000,1000,السوق المفتوح,في أجمل مناطق عبدون الشمالي شقة أخير مع روف 180م مفروشة جزئي للبيع بسعر مميز / ref 1193,
عبدون,روف,130,135000,1038,السوق المفتوح,فرصة استثمارية سكنية بالقرب من السفارة البريطانية في عبدون شقه اخير مع روف 130م مفروشة  بسعر مميز /,
عبدون,روف,300,320000,1067,قوشان,رووف 300م بأعلى المواصفات وبأرقى أحياء عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-300%d9%85-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%88%d8%a8%d8%a3%d8%b1%d9%82%d9%89-%d8%a3%d8%ad%d9%8a%d8%a7%d8%a1-%d8%b9/
عبدون,روف,450,480000,1067,السوق المفتوح,بالقرب من دوار الاسره في عبدون شقة مميزة أخير مع روف 450م بسعر مميز / ref 1165,
عبدون,روف,334,385000,1153,قوشان,شقة دوبلكس مميزة مع رووف  في عبدون,https://qoshan.com/property/%d8%b4%d9%82%d8%a9-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,روف,500,595000,1190,قوشان,رووف بأعلى المواصفات واطلالة مميزة في عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a3%d8%b9%d9%84%d9%89-%d8%a7%d9%84%d9%85%d9%88%d8%a7%d8%b5%d9%81%d8%a7%d8%aa-%d9%88%d8%a7%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a/
عبدون,روف,360,440000,1222,السوق المفتوح,في عبدون الشمالي شقة اخير مع روف 360م بتشطيبات راقية واطلاله مميزة/ ref 1197,
عبدون,روف,104,145000,1394,قوشان,رووف إستثماري مميز في عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%a5%d8%b3%d8%aa%d8%ab%d9%85%d8%a7%d8%b1%d9%8a-%d9%85%d9%85%d9%8a%d8%b2-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,روف,350,490000,1400,قوشان,أخير مع رووف 350م دوبلكس في عبدون,https://qoshan.com/property/%d8%a3%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-350%d9%85-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,روف,300,450000,1500,قوشان,رووف بإطلالة فخمة ومساحات مميزة في عبدون,https://qoshan.com/property/%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%a5%d8%b7%d9%84%d8%a7%d9%84%d8%a9-%d9%81%d8%ae%d9%85%d8%a9-%d9%88%d9%85%d8%b3%d8%a7%d8%ad%d8%a7%d8%aa-%d9%85%d9%85%d9%8a%d8%b2%d8%a9-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af/
عبدون,روف,265,675000,2547,السوق المفتوح,شقه أبراج عبدون الطابقية الفاخره/ روف بمساحة 265 متر مع ترسات خارجيه 310 متر,
عبدون,روف,254,,,قوشان,أخير مع رووف دوبلكس بأرقى مواقع عبدون,https://qoshan.com/property/%d8%a3%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d8%af%d9%88%d8%a8%d9%84%d9%83%d8%b3-%d8%a8%d8%a3%d8%b1%d9%82%d9%89-%d9%85%d9%88%d8%a7%d9%82%d8%b9-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
عبدون,روف,,430000,,قوشان,اخير مع رووف بتشطيبات فخمة 275م في عبدون,https://qoshan.com/property/%d8%a7%d8%ae%d9%8a%d8%b1-%d9%85%d8%b9-%d8%b1%d9%88%d9%88%d9%81-%d8%a8%d8%aa%d8%b4%d8%b7%d9%8a%d8%a8%d8%a7%d8%aa-%d9%81%d8%ae%d9%85%d8%a9-275%d9%85-%d9%81%d9%8a-%d8%b9%d8%a8%d8%af%d9%88%d9%86/
دابوق,أرضي,200,162000,810,السوق المفتوح,شقة أرضية فاخرة للبيع في دابوق - قرب دوار خلدا 200م تشطيب سوبر ديلوكس لم تسكن بسعر مغري,
دابوق,أرضي,290,269000,928,السوق المفتوح,شقة أرضية فاخرة للبيع في دابوق خلف المواصفات والمقاييس 290م مع ترسات 300م تشطيب سوبر ديلوكس لم تس,
دابوق,أرضي,225,220000,978,السوق المفتوح,شقة أرضية فاخرة للبيع في دابوق - خلف المواصفات والمقاييس 225م تشطيب سوبر ديلوكس لم تسكن,
